certificate,game,esrb_rating,platform_name,company
"36731","Disaster Report 4: Summer Memories","T","Windows PC, PlayStation 4","NIS America, Inc."
"36677","LA-MULANA 1 &amp; 2","T","PlayStation 4, Nintendo Switch, Xbox One","NIS America, Inc."
"36831","Predator: Hunting Grounds","M","Windows PC, PlayStation 4","Sony Interactive Entertainment"
"36912","Panzer Dragoon: Remake","T","Stadia","Forever Entertainment S. A."
"36760","TINY METAL: FULL METAL RUMBLE","E10plus","Nintendo Switch","AREA 34, Inc."
"36909","Rápidos y Furiosos: Encrucijada","T","Windows PC, PlayStation 4, Xbox One","BANDAI NAMCO Entertainment America Inc."
"36794","Saints Row: The Third Remastered","M","Windows PC, PlayStation 4, Xbox One","Koch Media"
"36782","The Wonderful 101: Remastered","T","Windows PC, Nintendo Switch","PlatinumGames Inc."
"36789","The Wonderful 101: Remastered","T","PlayStation 4","PlatinumGames Inc."
"36707","Moving Out","E","PlayStation 4, Nintendo Switch, Xbox One","Team 17 Digital Limited"
"36840","Microsoft Flight Simulator","E","Windows PC, Xbox One","Microsoft"
"36771","BioShock: The Collection","M","Nintendo Switch","2K Games"
"36813","Borderlands","M","Nintendo Switch","2K Games"
"36812","Borderlands 2","M","Nintendo Switch","2K Games"
"36811","Borderlands: The Pre-Sequel","M","Nintendo Switch","2K Games"
"35394","Call of Duty&#174;: Modern Warfare 2 Campaign Remastered","M","Windows PC, PlayStation 4, Xbox One","Activision-Blizzard"
"36832","Get Packed","E10plus","Stadia","Coatsink Software"
"36565","Metro 2033 Redux","M","Nintendo Switch","Koch Media"
"36577","Metro: Last Light Redux ","M","Nintendo Switch","Koch Media"
"36734","Persona 5 Royal","M","PlayStation 4","SEGA"
"36616","Railway Empire - Switch Edition","E","Nintendo Switch","Kalypso Media USA Inc."
"36802","SAMURAI SHODOWN NEOGEO COLLECTION","T","PlayStation 4, Nintendo Switch","SNK CORPORATION"
"36697","SnowRunner","E","Windows PC, PlayStation 4, Xbox One","Focus Home Interactive"
"36868","Streets of Rage 4","T","PlayStation 4, Nintendo Switch, Xbox One","DotEmu"
"36761","Those Who Remain","M","Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Wired Productions Ltd"
"36810","Worse Than Death","M","PlayStation 4","Benjamin Rivers Inc."
"36902","DOOM 64","M","Windows PC, PlayStation 4, Stadia, Nintendo Switch, Xbox One","Bethesda Softworks"
"36896","Valorant","T","Windows PC","Riot Games"
"36878","John Wick Hex","M","PlayStation 4, Nintendo Switch, Xbox One","Good Shepherd Games"
"36847","SHMUP COLLECTION","E10plus","Nintendo Switch","FREE AGENT GAMES"
"36894","Headsnatchers","E10plus","Nintendo Switch","Maximum Games, Inc."
"36845","INDIGO PROPHECY","M","PlayStation 4","QUANTIC DREAM"
"10034375","Ash of Gods: Redemption","M","Windows PC","AurumDust"
"36899","TINY METAL","E10plus","Macintosh, Windows PC, PlayStation 4, Nintendo Switch","AREA 34, Inc."
"36898","The Sims&#8482; 4 Vampires","T","Macintosh, Windows PC, PlayStation 4, Xbox One","Electronic Arts"
"36785","Adam's Venture: Origins","E","Nintendo Switch","SOEDESCO Publishing"
"36724","Cat Quest II","E10plus","PlayStation 4, Nintendo Switch","PQube"
"36890","Google Tilt Brush","T","PlayStation 4","Sony Interactive Entertainment"
"36834","Immortal Realms: Vampire Wars","M","Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Kalypso Media USA Inc."
"36298","Saints Row IV: Re-Elected ","M","Nintendo Switch","Koch Media"
"36829","Lost Words: Beyond the Page","E","Windows PC, Stadia","Modus Games LLC"
"36685","Bleeding Edge","T","Windows PC, Xbox One","Ninja Theory Ltd"
"36844","Yu-Gi-Oh! Legacy of the Duelist: Link Evolution","T","Windows PC, PlayStation 4, Xbox One","Konami Digital Entertainment"
"36854","Shikhondo: Soul Eater","T","PlayStation 4, Nintendo Switch","Digerati"
"36848","SteamWorld Quest: Hand of Gilgamech","E10plus","Stadia","Thunderful"
"36889","Nurse Love Addiction ","M","Nintendo Switch","DEGICA Co.,Ltd."
"36870","GORN","M","PlayStation 4","Devolver Digital"
"36764","Animal Crossing: New Horizons","E","Nintendo Switch","Nintendo"
"36803","Rabi-Ribi","T","Nintendo Switch","Mastiff LLC"
"36875","Out of the Park Baseball 21","E","Linux, Macintosh, Windows PC","Out of the Park Developments"
"36698","R.B.I. Baseball '20","E","PlayStation 4, Stadia, Nintendo Switch, Xbox One","COKeM International"
"36686","Zombie Army Trilogy","M","Nintendo Switch","Sold Out Sales &amp; Marketing Limited"
"36852","Stacks On Stacks (On Stacks)","E","Stadia","Herringbone Games"
"36819","COMMANDOS 2 &amp; PRAETORIANS: HD REMASTER DOUBLE PACK","T","Windows PC, PlayStation 4, Xbox One","Kalypso Media USA Inc."
"36800","Void Bastards","M","PlayStation 4, Nintendo Switch, Xbox One","Humble Bundle"
"36928","Daymare: 1998","M","Windows PC, PlayStation 4","GS2 Games"
"36929","Daymare: 1998 Black Edition","M","PlayStation 4","GS2 Games"
"36715","TT Isle of Man - Ride on the Edge 2","E","Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Bigben Interactive"
"36413","Under Night In-Birth Exe:Late[cl-r]","T","PlayStation 4, Nintendo Switch","Aksys Games Localization, Inc."
"36825","Biped","E","PlayStation 4, Xbox One","Meta Publishing"
"36863","Faeria","E","Windows PC","Versus Evil LLC"
"36599","ROBOTICS;NOTES ELITE","T","PlayStation 4, Nintendo Switch","Spike Chunsoft, Inc."
"36862","SteamWorld Heist ","E10plus","Stadia","Thunderful Publishing AB"
"36861","SteamWorld Dig 2","E10plus","Stadia","Thunderful Publishing AB"
"36860","SteamWorld Dig","E10plus","Stadia","Thunderful Publishing AB"
"36853","Fishing Sim World: Pro Tour Collector's Edition","E","PlayStation 4, Xbox One","RailSimulator.com "
"36843","Ninjin: Clash of Carrots","E10plus","Nintendo Switch","Modus Games LLC"
"36839","Fast &amp; Furious: Crossroads","T","Windows PC, PlayStation 4, Xbox One","BANDAI NAMCO Entertainment America Inc."
"36472","Cooking Mama: Cookstar","E","PlayStation 4, Nintendo Switch","Planet Entertainment"
"36733","Pokémon&#8482; Mystery Dungeon: Rescue Team DX","E","Nintendo Switch","Nintendo"
"36850","The Wonderful 101: Remastered","T","Nintendo Switch","Nighthawk Interactive LLC"
"36849","The Wonderful 101: Remastered","T","PlayStation 4","Nighthawk Interactive LLC"
"36818","MotoGP20","E","Windows PC, PlayStation 4, Stadia, Nintendo Switch, Xbox One","Milestone SRL"
"36695","The Legend of Heroes: Trails of Cold Steel III","T","Windows PC, Nintendo Switch","NIS America, Inc."
"36710","The Legend of Heroes: Trails of Cold Steel III Extracurricular Edition","T","Nintendo Switch","NIS America, Inc."
"36663","Bayonetta","M","PlayStation 4, Xbox One","SEGA"
"36672","Vanquish","M","PlayStation 4, Xbox One","SEGA"
"36570","Mafia III + Sign of the Times (DLC)","M","Stadia","2K Games"
"36763","MLB The Show 20","E","PlayStation 4","Sony Interactive Entertainment"
"36650","Resident Evil 3","M","PlayStation 4, Xbox One","CAPCOM USA, INC."
"36664","-Klaus-","E10plus","PlayStation 4","Severed Press PTY LTD"
"36838","Sephirothic Stories","E10plus","PlayStation 4","KEMCO"
"36766","Tamashii","M","PlayStation 4, Nintendo Switch","Digerati"
"36798","Wizard of Legend","E10plus","PlayStation 4, Nintendo Switch","Humble Bundle"
"36772","Yakuza 0","M","Xbox One","SEGA"
"36660","Darksiders Genesis","T","Windows PC, PlayStation 4, Stadia, Nintendo Switch, Xbox One","THQ Nordic GmbH"
"36510","Ikaruga","E10plus","PlayStation 4","TREASURE Co., Ltd."
"36739","Real Heroes: Firefighter","E10plus","PlayStation 4, Nintendo Switch","Maximum Games, LLC"
"36821","Oddworld: Stranger's Wrath","T","Nintendo Switch","Microids"
"36545","Mega Party: A Tootuff Adventure","T","PlayStation 4, Nintendo Switch, Xbox One","Microids"
"36791","Spitlings","E","Stadia","HandyGames"
"36807","Vitamin Connection ","E","Nintendo Switch","WayForward"
"36846","Apex Legends - Octane Edition","T","Windows PC, PlayStation 4, Xbox One","Electronic Arts"
"36597","Psikyo Shooting Stars Bravo","T","Nintendo Switch","NIS America, Inc."
"36796","Ancestors Legacy","M","Nintendo Switch","Destructive Creations J. Zielinski i Wspolnicy Spolka Jawna"
"36674","Marvel's Iron Man VR","T","PlayStation 4","Sony Interactive Entertainment"
"36808","Ys: Memories of Celceta ""Timeless Adventurer Edition""","T","PlayStation 4","XSEED JKS, Inc."
"36736","Crucible","T","Windows PC","Amazon Game Studios"
"36768","GALAK-Z: The Void","E10plus","PlayStation 4, Nintendo Switch","Maximum Games, LLC"
"10035277","SENRAN KAGURA Reflexions","M","Windows PC","XSEED JKS, Inc."
"36769","Skulls of the Shogun : Bone-a-Fide Edition","T","PlayStation 4, Nintendo Switch","Maximum Games, LLC"
"36655","Yakuza 5","M","PlayStation 4","SEGA"
"36795","Daymare: 1998","M","PlayStation 4","Destructive Creations J. Zielinski i Wspolnicy Spolka Jawna"
"36573","Code: Realize ~Guardian of Rebirth~","T","Nintendo Switch","Aksys Games Localization, Inc."
"36790","Sakura Wars","T","PlayStation 4","SEGA"
"36662","House Flipper","E","PlayStation 4, Nintendo Switch, Xbox One","Frozen District"
"36741","Nioh 2","M","PlayStation 4","Sony Interactive Entertainment"
"36787","ROMANCE OF THE THREE KINGDOMS XIV","E10plus","Windows PC, PlayStation 4","KOEI TECMO America Corporation"
"36797","Guilty Gear 20th Anniversary Pack","T","Nintendo Switch","Mastiff LLC"
"36801","Another World - 20th Anniversary Edition","T","PlayStation 4, Nintendo Switch, Xbox One","Microids"
"36792","ADK DAMASHII","T","PlayStation 4","Limited Run Games"
"36643","Monster Jam Steel Titans","E","Nintendo Switch","THQ Nordic GmbH"
"36754","Pixel Ripped 1989","E10plus","PlayStation 4","Perp Games"
"36657","Arc of Alchemist","E10plus","PlayStation 4, Nintendo Switch","Idea Factory International"
"36679","Oddworld: Munch's Oddysee HD","T","Nintendo Switch","Oddworld Inhabitants, Inc."
"36680","Outer Wilds","E10plus","PlayStation 4","Annapurna Interactive"
"36723","Doug Flutie's Maximum Football 2019","E","PlayStation 4, Xbox One","Maximum Games, LLC"
"36613","TurboGrafx-16 mini","M","Plug-and-Play","Konami Digital Entertainment"
"36804","Roblox for Xbox","E10plus","Xbox One","ROBLOX"
"10035453","The Mage's Tale","T","Windows PC","inXile Entertainment"
"36750","Shakedown: Hawaii","T","Wii U","Vblank Entertainment"
"36585","Psikyo Shooting Stars Alpha","E10plus","Nintendo Switch","NIS America, Inc."
"36756","The Sims&#8482; 4 Tiny Living","T","Macintosh, Windows PC, PlayStation 4, Xbox One","Electronic Arts"
"36784","Ys: Memories of Celceta","T","PlayStation 4","XSEED JKS, Inc."
"36779","Warhammer 40,000: Mechanicus","T","PlayStation 4, Nintendo Switch, Xbox One","Kalypso Media USA Inc."
"36700","Arcade Spirits","T","PlayStation 4, Nintendo Switch","PQube"
"36703","Dreams","T","PlayStation 4","Sony Interactive Entertainment"
"36757","Lightmatter","E10plus","Windows PC","Aspyr Media, Inc."
"36742","Gigantosaurus The Game ","E","Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Outright Games"
"36699","Hotline Miami Collection","M","Nintendo Switch","Devolver Digital"
"36694","Ministry of Broadcast","M","Nintendo Switch","PM Studios, Inc."
"36630","Fallout 76 Wastelanders","M","Windows PC, PlayStation 4, Xbox One","Bethesda Softworks"
"36776","Gears Tactics","M","Windows PC","Microsoft"
"36770","FAIRY TAIL","T","Windows PC, PlayStation 4, Nintendo Switch","KOEI TECMO America Corporation"
"36786","Pillars of Eternity II Deadfire Ultimate Edition","M","Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Versus Evil LLC"
"36805","Fortnite: Darkfire Bundle","T","PlayStation 4, Xbox One","Epic Games"
"36806","Fortnite: Darkfire Bundle","T","Nintendo Switch","Epic Games"
"36767","Fu'un Super Combo","T","PlayStation 4","Limited Run Games"
"36777","Death Stranding","M","Windows PC","505 Games US"
"36762","7 Days to Die","M","Windows PC, PlayStation 4, Xbox One","The Fun Pimps"
"36748","realMyst: Masterpiece Edition","E","Nintendo Switch","Cyan, Inc."
"36661","Crypt of the NecroDancer","T","PlayStation 4, Nintendo Switch, Xbox One","Brace Yourself Games Inc"
"36338","Tokyo Mirage Sessions #FE Encore","T","Nintendo Switch","Nintendo"
"36729","Skullgirls 2nd Encore","T","Nintendo Switch","Skybound Games"
"36749","Knights and Bikes","E10plus","PlayStation 4","Double Fine Productions"
"36755","SuperEpic: The Entertainment War","E10plus","PlayStation 4, Nintendo Switch","PM Studios, Inc."
"34838","Bayonetta","M","Windows PC","SEGA"
"36623","Ori and the Will of the Wisps","E","Windows PC, Xbox One","Microsoft"
"36656","Rolling Gunner","E10plus","Nintendo Switch","Mebius Co., Ltd"
"36718","Away: Journey to the Unexpected","T","PlayStation 4, Nintendo Switch","Plug-In-Digital"
"36629","Football Manager 2020","E","Macintosh, Windows PC, Stadia","SEGA"
"36671","GRID","E","Stadia","Koch Media"
"36624","Metro Exodus","M","Stadia","Koch Media"
"36691","Oddworld: Stranger's Wrath","T","Nintendo Switch","Oddworld Inhabitants, Inc."
"36654","The friends of Ringo Ishikawa","M","Nintendo Switch","PM Studios, Inc."
"36758","Warcraft III: Reforged","T","Macintosh, Windows PC","Activision-Blizzard"
"35985","1001 Spikes","T","PlayStation 4","Nicalis"
"36759","VA-11 HALL-A: Cyberpunk Bartender Action","M","PlayStation 4, Nintendo Switch","Ysbryd Games Worldwide Limited"
"36744","One Piece: Pirate Warriors 4 ","T","Windows PC, PlayStation 4, Nintendo Switch, Xbox One","BANDAI NAMCO Entertainment America Inc."
"36696","CLANNAD","T","Nintendo Switch","Sekai Project"
"36735","ONE PUNCH MAN: A HERO NOBODY KNOWS","T","Windows PC, PlayStation 4, Xbox One","BANDAI NAMCO Entertainment America Inc."
"36743","FINAL FANTASY VII Remake","T","PlayStation 4","Square Enix, Inc"
"36751","Five Nights at Freddy's: Help Wanted","T","PlayStation 4","Steel Wool Games, Inc."
"36740","Street Fighter V: Champion Edition","T","Windows PC, PlayStation 4","CAPCOM USA, INC."
"36725","Life is Strange 2 Episode 5","M","Windows PC","Square Enix, Inc"
"36738","Dynasty Warriors 9 Special Scenario Edition","T","Windows PC, PlayStation 4, Xbox One","KOEI TECMO America Corporation"
"36737","Dynasty Warriors 9 Special Weapon Edition ","T","Windows PC, PlayStation 4, Xbox One","KOEI TECMO America Corporation"
"36728","Atelier Shallie: Alchemists of the Dusk Sea DX","T","Windows PC","KOEI TECMO America Corporation"
"36722","Langrisser I &amp; II","T","Windows PC, PlayStation 4, Nintendo Switch","NIS America, Inc."
"36713","Atelier Escha &amp; Logy: Alchemists of the Dusk Sky DX","T","Windows PC","KOEI TECMO America Corporation"
"36726","Life is Strange 2 Complete Season","M","Windows PC, PlayStation 4, Xbox One","Square Enix, Inc"
"36709","Atelier Ayesha: The Alchemist of Dusk DX","T","Windows PC","KOEI TECMO America Corporation"
"36678","Remnant: From the Ashes","M","Windows PC, PlayStation 4, Xbox One","Perfect World Entertainment Inc."
"36727","DOOM Slayers Collection","M","PlayStation 4, Xbox One","Bethesda Softworks"
"36783","Gear.Club Unlimited 2 - Porsche Edition","E","Nintendo Switch","Microids"
"36714","eFootball PES 2020 LITE","E","Windows PC","Konami Digital Entertainment"
"36717","Azur Lane: Crosswave","T","Windows PC, PlayStation 4","Idea Factory International"
"36706","Desperados III","M","Windows PC, PlayStation 4, Xbox One","THQ Nordic GmbH"
"36705","Monster Energy Supercross - The Official Videogame 3","E","Windows PC, PlayStation 4, Stadia, Nintendo Switch, Xbox One","Milestone SRL"
"36704","MY HERO ONE'S JUSTICE 2","T","Windows PC, PlayStation 4, Nintendo Switch, Xbox One","BANDAI NAMCO Entertainment America Inc."
"36720","Hover","E","Nintendo Switch","PM Studios, Inc."
"10035896","Ancestors: The Humankind Odyssey","T","PlayStation 4, Windows PC, Xbox One","Private Division"
"36773","AVICII Invector","T","Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Wired Productions Ltd"
"36716","Super Blood Hockey","M","PlayStation 4, Nintendo Switch","Digerati"
"36515","Waku Waku Sweets","E","Nintendo Switch","Aksys Games Localization, Inc."
"36701","Granblue Fantasy: Versus","T","PlayStation 4","XSEED JKS, Inc."
"36563","Need for Speed HEAT","T","Windows PC, PlayStation 4, Xbox One","Electronic Arts"
"36556","Farming Simulator 20","E","Nintendo Switch","Focus Home Interactive"
"36702","Halo: Reach","M","Windows PC","Xbox Game Studios"
"36719","Halo: The Master Chief Collection","M","Windows PC","Xbox Game Studios"
"36639","Journey to the Savage Planet","T","Windows PC, PlayStation 4, Nintendo Switch, Xbox One","505 Games US"
"36688","Nancy Drew: Midnight in Salem","E10plus","Macintosh, Windows PC","Her Interactive"
"36687","Atooi Collection","E","Nintendo 3DS","Atooi LLC"
"36712","LA-MULANA 1 &amp; 2 Hidden Treasures Edition","T","PlayStation 4, Nintendo Switch, Xbox One","NIS America, Inc."
"36635","Polybius","E10plus","PlayStation 4","Limited Run Games"
"36461","Shakedown: Hawaii","T","Nintendo 3DS","Vblank Entertainment"
"36692","Trials of Mana","T","Windows PC, PlayStation 4, Nintendo Switch","Square Enix, Inc"
"36640","Children of Zodiarcs","T","PlayStation 4","Cardboard Utopia"
"36658","Illusion of L'Phalcia","E10plus","PlayStation 4, Nintendo Switch","KEMCO"
"36659","Legend of the Tetrarchs","E10plus","PlayStation 4, Nintendo Switch","KEMCO"
"36648","The Escapists","T","PlayStation 4, Xbox One","Sold Out Sales &amp; Marketing Limited"
"36647","Worms Battlegrounds","E10plus","PlayStation 4, Xbox One","Sold Out Sales &amp; Marketing Limited"
"36237","Borderlands 2 VR","M","Windows PC","2K Games"
"36593","DCL - The Game","E","Macintosh, Windows PC, PlayStation 4, Xbox One","THQ Nordic GmbH"
"36633","Instant Sports","E","Nintendo Switch","Merge Games"
"36588","Shovel Knight: Treasure Trove","E","PlayStation 4, Nintendo Switch, Xbox One","Yacht Club Games"
"36489","The C64 ","E10plus","Plug-and-Play","Koch Media"
"36602","AO Tennis 2","E","Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Bigben Interactive"
"36693","Costume Quest 2","E10plus","PlayStation 4","Majesco Entertainment"
"36689","SD GUNDAM G GENERATION CROSS RAYS","T","Windows PC","BANDAI NAMCO Entertainment America Inc."
"36752","Cities: Skylines Parklife Edition","E","PlayStation 4, Xbox One","Koch Media"
"36562","Sniper Ghost Warrior Contracts","M","Windows PC, PlayStation 4, Xbox One","CI Games S.A."
"36666","Hyper Light Drifter - Special Edition","T","Nintendo Switch","Abylight"
"36747","Gods of Boom","T","Google Play","Game Insight"
"36667","Red Dead Redemption 2","M","Stadia","Rockstar Games"
"36675","Rune Factory 4 Special","T","Nintendo Switch","XSEED JKS, Inc."
"36711","Rune Factory 4 Special 'Archival Edition'","T","Nintendo Switch","XSEED JKS, Inc."
"36615","Slayaway Camp: Butcher´s cut","M","PlayStation 4, Nintendo Switch","Digerati"
"36676","DRAGON BALL Z: KAKAROT","T","Windows PC, PlayStation 4, Xbox One","BANDAI NAMCO Entertainment America Inc."
"36406","Astroneer","E","Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Gearbox Publishing LLC"
"36621","Black Future 88","T","Nintendo Switch","U&amp;I Entertainment"
"36408","Jumanji The Video Game","T","PlayStation 4, Nintendo Switch, Xbox One","Outright Games"
"36670","Les Sims&#8482; 4 Á la fac","T","Macintosh, Windows PC, PlayStation 4, Xbox One","Electronic Arts"
"36684","Los Sims&#8482; 4 Dias de Universidad","T","Macintosh, Windows PC, PlayStation 4, Xbox One","Electronic Arts"
"36682","Planet Zoo","E10plus","Windows PC","Frontier Developments"
"36456","Pokémon Shield","E","Nintendo Switch","Nintendo"
"36497","Pokémon Sword","E","Nintendo Switch","Nintendo"
"36564","Star Wars Jedi: Fallen Order","T","Windows PC, PlayStation 4, Xbox One","Electronic Arts"
"36634","The Sims&#8482; 4 Discover University","T","Macintosh, Windows PC, PlayStation 4, Xbox One","Electronic Arts"
"36481","Garfield Kart: Furious Racing","E","PlayStation 4, Nintendo Switch, Xbox One","Microids"
"36503","Ghost Parade","E10plus","PlayStation 4, Nintendo Switch","Aksys Games Localization, Inc."
"36483","Offroad Racing - Buggy X ATV X Moto","E","PlayStation 4, Nintendo Switch, Xbox One","Microids"
"36449","The Unicorn Princess","E","Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Bigben Interactive"
"36652","Ancestors Legacy","M","PlayStation 4","Destructive Creations"
"10035831","Away: Journey to the Unexpected","T","PlayStation 4, Xbox One","Plug-In-Digital"
"10035692","MechaNika","M","PlayStation 4","Mango Protocol"
"36614","Valfaris","M","PlayStation 4, Nintendo Switch","Merge Games"
"36673","fault - milestone one","T","PlayStation 4, Nintendo Switch","Sekai Project"
"36645","Invector","T","Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Hello There AB"
"36603","Alvastia Chronicles","E10plus","PlayStation 4","KEMCO"
"36596","Stranger Things 3: The Game","T","Windows PC, PlayStation 4, Nintendo Switch","BonusXP, Inc."
"36669","Chronos: Before the Ashes","T","Windows PC, PlayStation 4, Nintendo Switch, Xbox One","THQ Nordic GmbH"
"36208","Mighty Switch Force! Collection","E10plus","Windows PC, PlayStation 4, Nintendo Switch, Xbox One","WayForward"
"36437","Close to the Sun","M","Nintendo Switch","Wired Productions Ltd"
"36403","Conception PLUS: Maidens of the Twelve Stars","M","PlayStation 4","Spike Chunsoft, Inc."
"36427","Deliver Us The Moon","T","Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Wired Productions Ltd"
"36641","Golem","T","PlayStation 4","U&amp;I Entertainment"
"36627","GYLT","T","Stadia","Google"
"36475","Monkey King Hero is Back","T","Windows PC, PlayStation 4","THQ Nordic GmbH"
"36537","Mortal Kombat 11","M","Stadia","Warner Bros."
"36668","Red Dead Redemption 2","M","Windows PC","Rockstar Games"
"10035797","The Lord of the Rings Living Card Game","E10plus","PlayStation 4, Windows PC","Asmodee Digital"
"36560","Skulls of the Shogun : Bone-a-Fide Edition","T","PlayStation 4, Nintendo Switch","17-BIT"
"36646","Blasphemous","M","PlayStation 4, Nintendo Switch, Xbox One","Team 17 Digital Limited"
"36559","GALAK-Z","E10plus","PlayStation 4, Nintendo Switch","17-BIT"
"36394","Dusk Diver","T","PlayStation 4, Nintendo Switch","PQube"
"36595","FINAL FANTASY XV","T","Stadia","Square Enix, Inc"
"36441","Race with Ryan","E","PlayStation 4, Nintendo Switch, Xbox One","Outright Games"
"36617","Siralim 3","T","PlayStation 4","Thylacine Studios LLC"
"36527","Soccer, Tactics &amp; Glory","E","PlayStation 4, Nintendo Switch","UIG GmbH"
"36568","Two Point Hospital","E10plus","PlayStation 4, Nintendo Switch, Xbox One","SEGA"
"36439","Yakuza 4","M","PlayStation 4","SEGA"
"36569","Deadly Premonition Origins","M","Nintendo Switch","Aksys Games Localization, Inc."
"36511","Heroland","T","Windows PC, PlayStation 4, Nintendo Switch","XSEED JKS, Inc."
"36637","Heroland - 'Knowble Edition'","T","Windows PC, PlayStation 4, Nintendo Switch","XSEED JKS, Inc."
"36552","NARCOS: Rise of the Cartels","M","Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Curve Digital"
"36610","NEOGEO Arcade Stick Pro","T","Plug-and-Play","SNK CORPORATION"
"36426","Remothered: Tormented Fathers","M","PlayStation 4, Nintendo Switch, Xbox One","SOEDESCO Publishing"
"36492","The Vanishing of Ethan Carter","M","Nintendo Switch","THQ Nordic GmbH"
"36642","The Bridge Constructor Physics Bundle Vol 1","E","Windows PC","Headup Games GmbH &amp; Co. KG"
"36279","Umihara Kawase Fresh!","E10plus","PlayStation 4, Nintendo Switch","Nicalis"
"36649","Farming Simulator 19","E","Stadia","GIANTS Software"
"36638","STORY OF SEASONS: Friends of Mineral Town","E10plus","Nintendo Switch","XSEED JKS, Inc."
"36626","Battle Princess Madelyn Royal Edition","E10plus","Nintendo Switch","Causal Bit Games Inc"
"36625","BoxVR","E10plus","PlayStation 4","U&amp;I Entertainment"
"36423","Raging Loop","M","PlayStation 4, Nintendo Switch","PQube"
"36517","The Outer Worlds","M","Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Private Division"
"36622","Hellmut - The Badass From Hell TM","T","PlayStation 4, Nintendo Switch","GS2 Games"
"36636","World of Warships Legends: Firepower Deluxe Edition","T","PlayStation 4, Xbox One","Gearbox Publishing LLC"
"10035869","Beholder 2","M","PlayStation 4","Alawar Entertainment, Inc."
"10035266","Minotaur Arcade Vol. 1","E10plus","PlayStation 4","Llamasoft Ltd"
"36690","Baldur's Gate: Enhanced Edition / Baldur's Gate II: Enhanced Edition","T","PlayStation 4, Nintendo Switch, Xbox One","Skybound Games"
"36391","Destiny Connect: Tick-Tock Travelers","E10plus","PlayStation 4, Nintendo Switch","NIS America, Inc."
"36576","Duke Nukem 3D: 20th Anniversary World Tour","M","Nintendo Switch","Gearbox Publishing LLC"
"36194","Ring Fit Adventure","E10plus","Nintendo Switch","Nintendo"
"36683","Surviving the Aftermath","T","Windows PC, Xbox One","Paradox Interactive"
"36631","Samurai Shodown","M","Stadia, Nintendo Switch","SNK CORPORATION"
